Department	undergrad_male	undergrad_female	undergrad_total	graduate_male	graduate_female	graduate_total	total_male	total_female	total
Institute of the Americas	0	0	0	59	47	106	59	47	106
Anthropology	54	223	277	66	191	257	120	414	534
Arts and Sciences BASc	126	309	435	0	0	0	126	309	435
Institute of Archaeology	53	127	180	87	216	303	140	343	483
UCL Australia	0	0	0	30	13	43	30	13	43
Bartlett School of Architecture	154	199	353	276	332	608	430	531	961
Bartlett School of Constrctn. & Prj. Mgmt.	88	31	119	202	175	377	290	206	496
Bartlett School of Environment, Energy and	0	0	0	181	185	366	181	185	366
Bartlett School of Planning	75	90	165	195	234	429	270	324	594
Bartlett School of Graduate Studies	0	0	0	1	0	1	1	0	1
Institute for Global Prosperity	0	0	0	2	6	8	2	6	8
Biochemical Engineering	96	77	173	78	66	144	174	143	317
Division of Biosciences	541	922	1463	189	259	448	730	1181	1911
Centre for Advanced Spatial Analysis	0	0	0	50	40	90	50	40	90
CoMPLEX	0	0	0	34	8	42	34	8	42
Chemical Engineering	358	137	495	75	47	122	433	184	617
Chemistry	224	231	455	146	93	239	370	324	694
Civil, Environmental and Geomatic Eng.	226	106	332	180	101	281	406	207	613
Computer Science	373	96	469	517	177	694	890	273	1163
Culture, Communication and Media	0	0	0	328	896	1224	328	896	1224
Curriculum, Pedagogy and Assessment	0	0	0	471	910	1381	471	910	1381
Development Planning Unit	0	0	0	84	193	277	84	193	277
Earth Sciences	84	69	153	57	60	117	141	129	270
Economics	549	309	858	120	69	189	669	378	1047
Education, Practice and Society	30	207	237	322	803	1125	352	1010	1362
UCL Institute of Education	1	6	7	30	53	83	31	59	90
Electronic and Electrical Engineering	316	71	387	149	60	209	465	131	596
English Language and Literature	90	181	271	39	58	97	129	239	368
European Social and Political Studies	109	171	280	0	0	0	109	171	280
Slade School of Fine Art	67	98	165	29	87	116	96	185	281
Gatsby Computational Neuroscience Unit	0	0	0	8	7	15	8	7	15
Geography	143	205	348	108	148	256	251	353	604
Institute for Global Health	18	27	45	16	93	109	34	120	154
Greek and Latin	79	94	173	14	33	47	93	127	220
Institute of Health Informatics	0	0	0	55	56	111	55	56	111
Hebrew and Jewish Studies	14	17	31	12	6	18	26	23	49
History	260	316	576	70	79	149	330	395	725
History of Art	24	160	184	10	68	78	34	228	262
Humanities and Social Sciences	0	0	0	1	0	1	1	0	1
Information Studies	0	0	0	55	163	218	55	163	218
Centre for Languages and International Educ	75	100	175	0	0	0	75	100	175
Laws	241	332	573	194	300	494	435	632	1067
London Centre for Leadership in Learning	0	0	0	4	2	6	4	2	6
Learning and Leadership	9	79	88	275	1014	1289	284	1093	1377
Lifelong and Comparative Education	0	0	0	1	1	2	1	1	2
Faculty of Life Sciences	0	0	0	3	2	5	3	2	5
UCL School of Management	327	297	624	164	196	360	491	493	984
